Name,F,M,M_weight,F_weight
ALEXIS,18218,4968,0.21426723,0.78573277
ALEXSA,20,0,0,1
ALEXSANDER,0,33,1,0
ALEXSANDRA,161,0,0,1
ALEXSIS,5,0,0,1
ALEXUS,677,0,0,1
ALEXXIS,11,0,0,1
ALEXY,0,5,1,0
ALEXYS,90,0,0,1
ALEXZA,5,0,0,1
ALEXZANDER,0,227,1,0
ALEXZANDRA,16,0,0,1
ALEXZANDRIA,10,0,0,1
ALEYA,39,0,0,1
ALEYAH,50,0,0,1
ALEYDA,5,0,0,1
ALEYNA,101,0,0,1
ALEYSHA,5,0,0,1
ALF,0,24,1,0
ALFIE,0,51,1,0
ALFIO,0,5,1,0
ALFONSE,0,332,1,0
ALFONSINA,5,0,0,1
ALFONSO,0,3092,1,0
ALFONZO,0,94,1,0
ALFRED,45,29962,0.99850035,0.00149965
ALFREDA,902,0,0,1
ALFREDO,0,3032,1,0
ALFRIEDA,10,0,0,1
ALGENIS,0,42,1,0
ALGERNON,0,5,1,0
ALHASSAN,0,5,1,0
ALI,336,3401,0.910088306,0.089911694
ALIA,792,0,0,1
ALIAH,222,0,0,1
ALIANA,386,0,0,1
ALIANNA,245,0,0,1
ALIANNAH,11,0,0,1
ALIANNY,27,0,0,1
ALICA,5,0,0,1
ALICE,42477,27,0.000635234,0.999364766
ALICEA,44,0,0,1
ALICEN,5,0,0,1
ALICIA,15513,0,0,1
ALICJA,35,0,0,1
ALIDA,480,0,0,1
ALIF,0,10,1,0
ALIJAH,25,429,0.944933921,0.055066079
ALIM,0,19,1,0
ALIMA,28,0,0,1
ALIN,6,0,0,1
ALINA,2392,0,0,1
ALINAH,5,0,0,1
ALINE,473,0,0,1
ALIOU,0,29,1,0
ALISA,2601,0,0,1
ALISANDE,6,0,0,1
ALISE,81,0,0,1
ALISHA,3111,0,0,1
ALISHBA,68,0,0,1
ALISHER,0,5,1,0
ALISHIA,37,0,0,1
ALISIA,74,0,0,1
ALISON,11406,0,0,1
ALISSA,2851,0,0,1
ALISSON,269,0,0,1
ALISTAIR,0,110,1,0
ALITA,20,0,0,1
ALIVIA,1391,0,0,1
ALIVIAH,5,0,0,1
ALIX,180,39,0.178082192,0.821917808
ALIXANDRA,12,0,0,1
ALIYA,714,0,0,1
ALIYAH,2334,0,0,1
ALIYANA,86,0,0,1
ALIYANNA,10,0,0,1
ALIZA,1580,0,0,1
ALIZABETH,5,0,0,1
ALIZAH,15,0,0,1
ALIZE,267,7,0.025547445,0.974452555
ALIZEH,7,0,0,1
ALLAH,0,42,1,0
ALLAN,0,11603,1,0
ALLANA,125,0,0,1
ALLANAH,20,0,0,1
ALLEGRA,439,0,0,1
ALLEN,12,17453,0.999312912,0.000687088
ALLENE,141,0,0,1
ALLI,6,0,0,1
ALLIAH,5,0,0,1
ALLIANA,6,0,0,1
ALLIE,767,0,0,1
ALLISA,15,0,0,1
ALLISON,20896,72,0.003433804,0.996566196
ALLISSA,53,0,0,1
ALLISSON,143,0,0,1
ALLIYAH,158,0,0,1
ALLORA,5,0,0,1
ALLURA,5,0,0,1
ALLY,321,0,0,1
ALLYCE,6,0,0,1
ALLYN,78,176,0.692913386,0.307086614
ALLYSA,102,0,0,1
ALLYSHA,10,0,0,1
ALLYSON,3194,0,0,1
ALLYSSA,287,0,0,1
ALLYSSON,5,0,0,1
ALMA,5155,0,0,1
ALMEDA,43,0,0,1
ALMON,0,11,1,0
ALOIS,0,126,1,0
ALOMA,11,0,0,1
ALON,0,116,1,0
ALONA,38,0,0,1
ALONDA,5,0,0,1
ALONDRA,811,0,0,1
ALONNA,5,0,0,1
ALONSO,0,162,1,0
ALONZA,0,6,1,0
ALONZO,0,1744,1,0
ALORA,116,0,0,1
ALOYSIUS,0,274,1,0
ALP,0,11,1,0
ALPHA,5,333,0.985207101,0.014792899
ALPHONSE,0,1515,1,0
ALPHONSO,0,1176,1,0
ALPHONSUS,0,11,1,0
ALPHONZO,0,10,1,0
ALSTON,0,128,1,0
ALTA,492,0,0,1
ALTAGRACIA,132,0,0,1
ALTAIR,0,5,1,0
ALTER,0,155,1,0
ALTHA,5,0,0,1
ALTHEA,1470,0,0,1
ALTIN,0,12,1,0
ALTON,0,1693,1,0
ALVA,258,43,0.142857143,0.857142857
ALVAH,0,25,1,0
ALVARO,0,644,1,0
ALVEENA,12,0,0,1
ALVERA,105,0,0,1
ALVERTA,5,0,0,1
ALVI,0,10,1,0
ALVIN,0,9939,1,0
ALVINA,249,0,0,1
ALVIRA,21,0,0,1
ALVIS,0,7,1,0
ALWIN,0,5,1,0
ALY,0,77,1,0
ALYA,86,0,0,1
ALYAAN,0,7,1,0
ALYAH,8,0,0,1
ALYAN,0,5,1,0
ALYANA,88,0,0,1
ALYANNA,64,0,0,1
ALYCE,1148,0,0,1
ALYCIA,547,0,0,1
ALYDIA,5,0,0,1
ALYIAH,10,0,0,1
ALYNA,56,0,0,1
ALYS,5,0,0,1
ALYSA,354,0,0,1
ALYSE,577,0,0,1
ALYSHA,595,0,0,1
ALYSHIA,23,0,0,1
ALYSIA,494,0,0,1
ALYSON,2110,0,0,1
ALYSSA,20907,0,0,1
ALYSSANDRA,6,0,0,1
ALYSSE,36,0,0,1
ALYSSIA,216,0,0,1
ALYSSON,15,0,0,1
ALYVIA,220,0,0,1
ALYX,6,0,0,1
ALYXANDRA,5,0,0,1
ALYZA,28,0,0,1
AMA,39,0,0,1
AMAAN,0,61,1,0
AMAAR,0,5,1,0
AMADA,5,0,0,1
AMADEO,0,12,1,0
AMADEUS,0,5,1,0
AMADI,5,0,0,1
AMADO,0,67,1,0
AMADOR,0,16,1,0
AMADOU,0,379,1,0
AMAHIA,5,0,0,1
AMAI,6,0,0,1
AMAIA,225,0,0,1
AMAIAH,16,0,0,1
AMAIYA,96,0,0,1
AMAIYAH,11,0,0,1
AMAL,290,0,0,1
AMALIA,1215,0,0,1
AMALIE,20,0,0,1
AMALIN,6,0,0,1
AMALIO,0,5,1,0
AMALYA,31,0,0,1
AMALYN,5,0,0,1
AMAN,5,179,0.972826087,0.027173913
AMANDA,48095,78,0.001619164,0.998380836
AMANDEEP,10,11,0.523809524,0.476190476
AMANI,966,236,0.196339434,0.803660566
AMAR,0,561,1,0
AMARA,835,5,0.005952381,0.994047619
AMARAH,36,0,0,1
AMARE,6,493,0.987975952,0.012024048
AMAREE,0,26,1,0
AMARI,553,1409,0.71814475,0.28185525
AMARIA,10,0,0,1
AMARIAH,103,0,0,1
AMARIANA,42,0,0,1
AMARIANNA,12,0,0,1
AMARIE,50,5,0.090909091,0.909090909
AMARII,0,12,1,0
AMARILIS,76,0,0,1
AMARILYS,7,0,0,1
AMARION,0,75,1,0
AMARIS,464,0,0,1
AMARU,0,12,1,0
AMARYLLIS,27,0,0,1
AMATO,0,6,1,0
AMATULLAH,5,0,0,1
AMAURI,0,68,1,0
AMAURIS,0,5,1,0
AMAURY,0,210,1,0
AMAYA,2222,0,0,1
AMAYAH,246,0,0,1
AMBAR,302,0,0,1
AMBER,13091,0,0,1
AMBERLEE,17,0,0,1
AMBERLY,195,0,0,1
AMBERLYN,16,0,0,1
AMBERLYNN,11,0,0,1
AMBIKA,11,0,0,1
AMBRIA,10,0,0,1
AMBROSE,0,366,1,0
AMBROSIA,11,0,0,1
AMEDEO,0,117,1,0
AMEDIO,0,11,1,0
AMEE,28,0,0,1
AMEEN,0,88,1,0
AMEENA,112,0,0,1
AMEENAH,6,0,0,1
AMEER,0,535,1,0
AMEERA,221,0,0,1
AMEERAH,119,0,0,1
AMEILA,5,0,0,1
AMEIR,0,12,1,0
AMEL,16,6,0.272727273,0.727272727
AMELA,22,0,0,1
AMELIA,13270,0,0,1
AMELIAH,34,0,0,1
AMELIE,499,0,0,1
AMELIO,0,23,1,0
AMELYA,5,0,0,1
AMEN,0,5,1,0
AMENA,24,0,0,1
AMER,0,118,1,0
AMERA,17,0,0,1
AMERE,0,58,1,0
AMERICA,267,0,0,1
AMERICO,0,399,1,0
AMERIE,121,0,0,1
AMERIGO,0,61,1,0
AMETHYST,104,0,0,1
AMEYA,5,0,0,1
AMI,398,0,0,1
AMIA,259,0,0,1
AMIAH,178,0,0,1
AMIAS,0,10,1,0
AMIE,1007,0,0,1
AMIEE,12,0,0,1
AMIEL,0,29,1,0
AMIER,0,11,1,0
AMIL,0,7,1,0
AMILA,14,0,0,1
AMILAH,11,0,0,1
AMILCAR,0,5,1,0
AMILIA,60,0,0,1
AMILYA,5,0,0,1
AMIN,0,358,1,0
AMINA,1703,0,0,1
AMINAH,404,0,0,1
AMINATA,642,0,0,1
AMINE,0,5,1,0
AMIR,0,3802,1,0
AMIRA,1247,0,0,1
AMIRAH,643,0,0,1
AMIRE,0,15,1,0
AMIRI,0,23,1,0
AMIRJON,0,17,1,0
AMISHA,62,0,0,1
AMIT,0,536,1,0
AMITAI,0,6,1,0
AMITY,19,0,0,1
AMIYA,383,0,0,1
AMIYAH,706,0,0,1
AMMA,5,0,0,1
AMMAR,0,233,1,0
AMMON,0,5,1,0
AMMY,48,0,0,1
AMNA,251,0,0,1
AMON,0,11,1,0
AMONI,16,0,0,1
AMOR,6,0,0,1
AMORA,147,0,0,1
AMORE,12,0,0,1
AMOS,0,902,1,0
AMOURA,11,0,0,1
AMPARO,47,0,0,1
AMR,0,130,1,0
AMRA,10,0,0,1
AMREEN,14,0,0,1
AMRIT,0,23,1,0
AMRITA,154,0,0,1
AMROM,0,208,1,0
AMY,45222,33,0.000729201,0.999270799
AMYA,502,0,0,1
AMYAH,132,0,0,1
AMYIAH,11,0,0,1
AMYJO,17,0,0,1
AMYRA,53,0,0,1
AMYRAH,19,0,0,1
AN,5,0,0,1
ANA,9215,0,0,1
ANABEL,614,0,0,1
ANABELL,10,0,0,1
ANABELLA,357,0,0,1
ANABELLE,499,0,0,1
ANABIA,86,0,0,1
ANAELLE,33,0,0,1
ANAHI,322,0,0,1
ANAHIS,5,0,0,1
ANAHY,5,0,0,1
ANAI,51,0,0,1
ANAIA,5,0,0,1
ANAIAH,118,0,0,1
ANAIRIS,5,0,0,1
ANAIS,924,0,0,1
ANAISA,7,0,0,1
ANAISE,5,0,0,1
ANAISHA,6,0,0,1
ANAIYA,129,0,0,1
ANAIYAH,77,0,0,1
ANAJA,5,0,0,1
ANAKAREN,6,0,0,1
ANAKIN,0,52,1,0
ANALEAH,30,0,0,1
ANALEE,26,0,0,1
ANALEIGH,32,0,0,1
ANALI,11,0,0,1
ANALIA,329,0,0,1
ANALIAH,27,0,0,1
ANALIESE,78,0,0,1
ANALIS,54,0,0,1
ANALISA,76,0,0,1
ANALISE,271,0,0,1
ANALISSE,6,0,0,1
ANALIYAH,24,0,0,1
ANALIZ,50,0,0,1
ANALY,13,0,0,1
