"Title","Average_2014","Male_2014","Female_2014","Gap_2014","Average_2015","Male_2015","Female_2015","Gap_2015","Average_2016","Male_2016","Female_2016","Gap_2016","Average_2017","Male_2017","Female_2017","Gap_2017","Average_2018","Male_2018","Female_2018","Gap_2018","Average_2019","Male_2019","Female_2019","Gap_2019","Average_2020","Male_2020","Female_2020","Gap_2020"
"P.O. DA DET GR3",93777.4626254586,93775.2239847265,93791.7192501277,"0.0%",96253.259714031,96233.4218058365,96386.2093045333,"-0.1%",96266.4098811019,96258.8719211552,96317.1237179644,"0.0%",96226.8879304251,96253.6836304893,96055.346429894,"0.1%",96665.6073917374,96667.2466717657,96655.2241550319,"0.0%",97823.2358924537,97826.9251178455,97800.929984154,"0.0%",97029.7519582245,97052.6399404939,96896.1238223102,"0.1%"
"P.O. DET SPEC",92902.0567359032,93081.2604303797,92077.0156475499,"0.5%",95708.4389977211,95847.3026063288,95026.7016186769,"0.4%",95954.260883123,96000.3589390037,95730.0764258988,"0.1%",95612.2347356941,95616.3945829278,95592.6619839518,"0.0%",96673.987123011,96673.5657037467,96675.9854503884,"0.0%",97894.8249576397,97893.792983446,97899.6579971811,"0.0%",97068.2002398082,97063.6498420363,97090.3944975321,"0.0%"
"PARALEGAL AIDE",46190.8861807008,46772.0949399926,45931.0355756476,"0.9%",48016.5834847312,48513.8443098241,47822.9247606792,"0.7%",49118.3271402138,49298.5432082572,49049.8921389448,"0.3%",49205.9692987984,49486.0147272133,49089.0420637105,"0.4%",47965.3651011847,47875.273513438,48010.0898186351,"-0.1%",49524.8752481779,49468.6464569523,49554.4654866577,"-0.1%",50994.8301282051,51110.6751873324,50938.517687413,"0.2%"
"PARK SUPERVISOR",69725.1774977779,69878.2466167934,69246.518314072,"0.5%",72979.6924868058,72982.879817671,72969.3426225062,"0.0%",73758.5623468671,73714.9351870932,73886.910917254,"-0.1%",74844.9103315765,74839.416666991,74859.3229370198,"0.0%",72612.1309296775,72727.5509327111,72290.6202697047,"0.3%",74617.2100002026,74544.5020621159,74810.6934543991,"-0.2%",77018.9288389513,77060.1018557998,76898.9098202112,"0.1%"
"PHYSICAL THERAPIST",NA,NA,NA,NA,71182.9242706575,71430.5537215628,71074.0122396103,"0.3%",73129.8674575837,73288.4060605435,73061.0502625005,"0.2%",75203.3291901285,75385.1113942437,75129.8009079206,"0.2%",76836.5117880293,76984.1311719897,76779.5028440136,"0.1%",77123.1068741684,77186.4617923624,77098.8356943227,"0.1%",78429.1356238698,78571.522268746,78376.9980104723,"0.1%"
"POLICE ADMINISTRATIVE AIDE",37759.2474194078,37361.1561067388,37791.7539716963,"-0.6%",39303.393651615,39327.7929582511,39301.4775042007,"0.0%",39802.8147863886,39441.2977654158,39833.8099432081,"-0.5%",40599.2767690908,39793.2401696314,40674.0258772386,"-1.1%",40187.4709947041,39741.4575927877,40225.4855436676,"-0.6%",42005.7575729616,41705.8685627845,42031.0424357625,"-0.4%",42775.8876811594,41040.0710524906,42954.8982443773,"-2.3%"
"POLICE COMMUNICATIONS TECHNICIAN",45330.7859228257,44697.7021587576,45446.3062059408,"-0.8%",47108.0164502609,46005.7256568762,47322.8381818112,"-1.4%",48780.0741552715,48520.91073357,48826.9610085778,"-0.3%",47797.1322429184,47484.7525587236,47855.0679931139,"-0.4%",46490.9899575993,45677.4890884433,46651.1887843328,"-1.1%",47175.7646936327,46582.0334917855,47284.6162542653,"-0.7%",48021.5423728814,47788.922859899,48067.305216758,"-0.3%"
"POLICE OFFICER",71854.8563843422,71511.007238404,73379.2864935092,"-1.3%",70734.9616951148,70397.3713841739,72215.1072321471,"-1.3%",69788.6142991857,69597.1943954667,70603.936277803,"-0.7%",74621.8187167698,74612.5858865949,74660.2126736386,"0.0%",72606.7866546076,72727.9173666139,72114.6156149676,"0.4%",71810.0617117741,72045.2630142675,70877.1020592172,"0.8%",71261.7775579843,71612.3438866036,69898.5426026527,"1.2%"
"POLICE OFFICER D/A DETECTIVE 1ST GR",122056.598151169,122056.598151169,122056.598151169,"0.0%",125529.505926609,125529.505926608,125529.505926608,"0.0%",125468.519217326,125468.150009369,125471.898724609,"0.0%",125249.341786149,125249.341786149,125249.341786149,"0.0%",124804.743486639,124804.743486639,124804.743486639,"0.0%",126421.604505838,126421.604505838,126421.604505838,"0.0%",125531,125531,125531,"0.0%"
"POLICE OFFICER D/A DETECTIVE 2ND GR",106333.031551526,106333.031551526,106333.031551526,"0.0%",109358.998119138,109358.998119138,109358.998119138,"0.0%",109308.238207076,109308.238207076,109308.238207076,"0.0%",109114.674849189,109114.674849189,109114.674849189,"0.0%",108727.332428257,108727.332428257,108727.332428257,"0.0%",110135.87614819,110135.87614819,110135.87614819,"0.0%",109360,109360,109360,"0.0%"
"PRINCIPAL",149041.258327808,150407.74038084,148344.91015589,"0.7%",151727.896080735,153266.868908521,150906.329101901,"0.8%",153722.051177842,155097.673732737,152999.253780122,"0.7%",157416.994884043,158697.197472975,156714.324473381,"0.6%",160356.484632933,161819.23906817,159530.783363937,"0.7%",167418.155018881,169211.200474296,166441.691343225,"0.8%",174088.822810591,175768.576010356,173181.427509496,"0.7%"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE",NA,NA,NA,NA,59413.4955234514,58951.9705497966,59507.0659597268,"-0.5%",60620.1702821517,60216.3621409803,60704.2784725734,"-0.4%",61249.0156784551,60940.6616691466,61314.7181825155,"-0.3%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61382.0203943315,61136.5946520368,61438.5821395776,"-0.2%"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE - LEV 1 & 2 NON SUPVR",56583.726439509,56139.3657453297,56674.5824056355,"-0.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59618.4451183273,58695.9537857946,59822.0980326894,"-1.0%",58858.8528101767,58409.8402283313,58960.9007272541,"-0.5%",NA,NA,NA,NA
"PROBATION OFFICER",58260.6464916663,58744.5538231343,58023.3770317034,"0.6%",62227.3598130285,63203.6584217144,61763.2493235796,"1.2%",63202.3993580692,64208.2502808009,62714.44139376,"1.2%",59947.2888114172,60511.1588419053,59673.9000583755,"0.7%",56602.7917196752,56078.2506424137,56866.4332870493,"-0.7%",58536.0892769854,58017.4278310754,58775.8783269237,"-0.6%",58208.0491803279,58088.0851133475,58261.7591531599,"-0.1%"
"PROCUREMENT ANALYST",60339.4635260408,60891.8410970218,60095.6082622116,"0.7%",62603.4797961686,64196.861563817,61901.1672703935,"1.8%",63594.0660548909,64499.8755327577,63167.7442932756,"1.0%",64453.9159979029,65971.2729567604,63727.5313389423,"1.7%",65458.2962292677,67020.5676340895,64740.0166788916,"1.7%",66069.8148107054,69057.5889526112,64739.9935411364,"3.2%",67364.1503067485,71772.5398656015,65717.0647438662,"4.4%"
"PROFESSOR",112982.643735026,113175.331574102,112751.023167561,"0.2%",112132.023047609,113046.265599569,111074.472865552,"0.9%",112362.021300721,112952.550744431,111690.624357692,"0.6%",122987.275358116,123621.745473641,122246.143700714,"0.6%",118047.217636655,118548.00782528,117467.642628827,"0.5%",116766.585187959,117143.075384465,116342.847878562,"0.3%",120869.154734411,121602.445616281,120056.257304998,"0.6%"
"PUBLIC HEALTH ADVISER",47645.4939559065,47486.2853370625,47709.2515481675,"-0.2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PUBLIC HEALTH SANITARIAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55137.0565497547,56015.2699977604,54243.3333824686,"1.6%",56999.3838499139,57349.1275903879,56653.2075905887,"0.6%",58589.6837209302,58447.4218658943,58744.0944027794,"-0.3%"
"SANITATION WORKER",68082.7497948062,68102.106649366,67522.914790492,"0.4%",69152.8382329025,69235.6586028978,66878.4950279666,"1.7%",68681.8117747587,68800.3125361427,65541.4924709418,"2.4%",69652.656411602,69800.5397192183,65893.3182722161,"2.9%",70279.830032198,70455.2388165598,65920.656912339,"3.3%",68183.585394638,68434.9980159619,62522.6553279125,"4.5%",68659.5342847769,68894.7127681264,63536.8447676634,"4.0%"
"SCHOOL FOOD SERVICE MANAGER",52653.0732855237,52610.2085482904,52664.4491277097,"-0.1%",55752.3652546181,55851.5277213694,55727.5316899044,"0.1%",55113.3985543088,55012.1059162293,55139.1101651316,"-0.1%",53465.7972663536,52013.3458019478,53865.2588731961,"-1.7%",53170.7152013008,52649.1937141836,53299.1485885379,"-0.6%",52517.4803739148,52550.2937718668,52509.3863405293,"0.0%",56785.472972973,55927.9352431217,57038.6496819275,"-1.0%"
"SCHOOL PSYCHOLGIST",90888.8141414079,94306.0082846658,89978.8787120156,"2.3%",95028.9883292171,99772.5076883155,93868.1570413119,"3.0%",96172.8369779425,100161.183065902,95219.0789742736,"2.5%",99200.4886731129,101941.538162945,98565.2831307383,"1.7%",101600.374061815,104606.394884958,100925.775744704,"1.8%",102202.717517931,104162.809344017,101778.151523285,"1.2%",102873.203931204,105819.556794503,102257.356995528,"1.7%"
"SCHOOL SAFETY AGENT",37919.725728891,37816.4664767267,37970.1103758947,"-0.2%",40530.4718544447,40398.035617887,40595.3273924573,"-0.2%",41898.8099964459,41776.5421005554,41958.1304468366,"-0.2%",42631.6216550435,42414.1246082712,42734.3338768267,"-0.4%",44560.0626545296,44184.812336404,44736.9559856436,"-0.6%",43153.1922864,42732.4990333013,43351.5230685251,"-0.7%",45897.2076980755,45309.8828229092,46180.6940461895,"-1.0%"
"SCHOOL SECRETARY",58136.2506784273,57247.3824783263,58147.5017255992,"-0.8%",60696.4514497342,58656.6425145768,60724.2888017135,"-1.7%",61609.2470858541,57538.1855202199,61676.964252103,"-3.5%",63075.2494936336,59655.2460076064,63135.8406100368,"-2.8%",64145.104961796,59880.5968457837,64231.9929242209,"-3.5%",64324.9516589274,59922.0110904887,64423.5205035429,"-3.6%",65159.889837083,61001.560940542,65258.8328857998,"-3.4%"
"SCHOOL SOCIAL WORKER",93490.9683617595,95041.0126209866,93106.4536552772,"1.0%",96585.8154026818,98254.4044455346,96198.5245006993,"1.1%",97517.5036313232,98049.2063444467,97400.6238085909,"0.3%",99343.9960029619,100181.953618094,99156.4433027431,"0.5%",101641.574308296,102457.609331341,101457.905967635,"0.5%",102463.406810161,103179.221011296,102307.182092248,"0.4%",101395.655021834,101948.210447059,101281.105313643,"0.3%"
"SECRETARY",42093.5185542765,41395.0135683098,42123.8647741558,"-0.9%",44180.4706909489,43404.047701403,44214.8935399501,"-0.9%",44972.4294654677,44247.4942244016,45007.091929003,"-0.9%",45907.9822216851,44718.6852958223,45964.8363613588,"-1.4%",44684.7522134044,43389.8000628725,44752.0794231995,"-1.5%",45755.3513876444,43949.5774955163,45859.5076354965,"-2.1%",47040.3669565217,44514.3587746182,47187.6485599354,"-2.9%"
